plant_name,plant_height,plant_width,plant_length,plant_area,leaf_count,avg_leaf_area,rgb_path
lettuce,0.467994,0.101895,0.0856788,0.00273223,8,0.000341529,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240216_235736_370_700_0.png
lettuce,0.554026,0.107713,0.0809649,0.00268366,7,0.00038338,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240217_055725_370_700_0.png
lettuce,0.430683,0.105412,0.115934,0.0037265,7,0.000532357,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240217_115714_370_700_0.png
lettuce,0.17082,0.103005,0.0811432,0.00264451,8,0.000330564,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240217_175704_370_700_0.png
lettuce,0.624712,0.126504,0.082703,0.00338837,6,0.000564729,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240217_235737_370_700_0.png
lettuce,0.513901,0.304926,0.169712,0.0165614,8,0.00207018,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240218_055728_370_700_0.png
lettuce,0.185302,0.109966,0.0810024,0.00279234,7,0.000398906,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240218_115719_370_700_0.png
lettuce,0.16702,0.109808,0.116291,0.00404104,7,0.000577291,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240218_175705_370_700_0.png
lettuce,0.180768,0.105821,0.0773763,0.00270443,7,0.000386347,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240218_235740_370_700_0.png
lettuce,0.520245,0.100792,0.0812147,0.00271627,6,0.000452712,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240219_055730_370_700_0.png
lettuce,0.184479,0.969061,0.5821,0.179656,7,0.0256652,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240219_115717_370_700_0.png
lettuce,0.167072,0.0931541,0.110453,0.00304492,5,0.000608984,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240219_175701_370_700_0.png
lettuce,0.218549,0.104424,0.119556,0.00363687,6,0.000606145,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240219_235737_370_700_0.png
lettuce,0.520966,0.105654,0.115863,0.00373514,4,0.000933785,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240220_055725_370_700_0.png
lettuce,0.185529,0.11634,0.0785428,0.0032725,6,0.000545417,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240220_115711_370_700_0.png
lettuce,0.186052,0.110051,0.0767496,0.00329246,6,0.000548743,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240220_175657_370_700_0.png
lettuce,0.579076,0.108522,0.114992,0.00455985,4,0.00113996,/home/arif/Desktop/ExampleImages/ChardRGBD/rgb_20240220_235734_370_700_0.png
