plant_name,plant_height,plant_width,plant_length,plant_area,leaf_count,avg_leaf_area,rgb_path
lettuce,0.0728849,0.0895871,0.0589136,0.00183855,7,0.00026265,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240226_175533_120_350_0.png
lettuce,0.0712505,0.0943322,0.0562415,0.00170258,7,0.000243225,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240226_235611_120_350_0.png
lettuce,0.073209,0.0910986,0.0665655,0.00183434,6,0.000305723,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240227_055601_120_350_0.png
lettuce,0.140337,0.0964238,0.0661943,0.0023795,7,0.000339929,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240227_115546_120_350_0.png
lettuce,0.131886,0.0762034,0.0578662,0.00151722,6,0.00025287,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240227_175536_120_350_0.png
lettuce,0.128104,0.110725,0.0601614,0.00236713,10,0.000236713,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240227_235525_120_350_0.png
lettuce,0.112497,0.0843205,0.0510496,0.0013931,6,0.000232184,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240228_055603_120_350_0.png
lettuce,0.0648409,0.0882978,0.0641225,0.00190137,8,0.000237671,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240228_115551_120_350_0.png
lettuce,0.138874,0.077883,0.0695071,0.00281384,9,0.000312649,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240228_175539_120_350_0.png
lettuce,0.17249,0.0856965,0.0781874,0.00340758,10,0.000340758,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240228_235613_120_350_0.png
lettuce,0.072586,0.0669706,0.0780178,0.00277236,11,0.000252032,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240229_055559_120_350_0.png
lettuce,0.126659,0.0788448,0.0791956,0.00340704,7,0.00048672,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240229_115544_120_350_0.png
lettuce,0.104505,0.066894,0.0662792,0.00216097,9,0.000240107,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240229_175535_120_350_0.png
lettuce,0.112999,0.0793051,0.0577618,0.00204758,9,0.000227509,/home/arif/Desktop/ExampleImages/LettuceRGBD/rgb_20240229_235612_120_350_0.png
